//  PatLen	   TextLen	  Naive-RT	    KMP-RT
        10	    890000	      8245	      5734
       100	    890000	      9038	      5597
      1000	    890000	      7864	      5644
     10000	    890000	      7990	      5164
    100000	    890000	      9211	      3787
        10	    900000	      8044	      5807
       100	    900000	      7963	      5682
      1000	    900000	      8039	      5691
     10000	    900000	      8063	      5133
    100000	    900000	      9318	      3824
        10	    910000	      8273	      5773
       100	    910000	      8123	      5745
      1000	    910000	      8063	      5876
     10000	    910000	      8177	      6109
    100000	    910000	      9402	      3959
        10	    920000	      8219	      5872
       100	    920000	      8203	      5766
      1000	    920000	      8132	      5779
     10000	    920000	      8316	      5302
    100000	    920000	      9522	      3925
        10	    930000	      8282	      5907
       100	    930000	      8359	      5836
      1000	    930000	      8318	      5923
     10000	    930000	      8416	      5363
    100000	    930000	      9632	      3923
        10	    940000	      8438	      5950
       100	    940000	      8566	      5943
      1000	    940000	      9015	      5926
     10000	    940000	      8462	      5381
    100000	    940000	      9716	      3940
        10	    950000	      8450	      6058
       100	    950000	      9219	      6002
      1000	    950000	      8488	      5983
     10000	    950000	      8522	      5430
    100000	    950000	      9874	      3960
        10	    960000	      8499	      6101
       100	    960000	      8646	      6053
      1000	    960000	      9362	      6110
     10000	    960000	      8949	      5499
    100000	    960000	      9953	      3989
        10	    970000	      8646	      6181
       100	    970000	      8633	      6110
      1000	    970000	      8663	      6106
     10000	    970000	      8701	      5524
    100000	    970000	     10058	      4064
        10	    980000	      8676	      6186
       100	    980000	      9518	      6195
      1000	    980000	      8639	      6182
     10000	    980000	      8790	      5635
    100000	    980000	     10130	      5863
        10	    990000	      8811	      6256
       100	    990000	      8765	      6267
      1000	    990000	      9153	      6238
     10000	    990000	      8863	      5722
    100000	    990000	     10237	      4099
        10	   1000000	      8911	      6344
       100	   1000000	      8966	      6287
      1000	   1000000	      8897	      6256
     10000	   1000000	      8984	      5672
    100000	   1000000	     10411	      4153
